名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
钱隆氧吧量贩式KTV(松岗店),体育休闲服务,娱乐场所,KTV,松岗街道沙江路168号维也纳酒店地铁站店3-4层,广东省,深圳市,宝安区,113.8266207,22.77621783
金年华休闲会所,体育休闲服务,娱乐场所,KTV,松岗街道沙江路168号维也纳酒店地铁站店5层,广东省,深圳市,宝安区,113.8266247,22.77620884
皇轩假日国际会所,体育休闲服务,娱乐场所,KTV,广深公路黄金海岸(花果山小区东100米),广东省,深圳市,宝安区,113.8392062,22.77486252
003俱乐部,体育休闲服务,娱乐场所,KTV,松岗松明大道1号(松乔酒店内),广东省,深圳市,宝安区,113.8411404,22.77221782
003KTV Club,体育休闲服务,娱乐场所,KTV,松河南路与358省道交叉口南50米,广东省,深圳市,宝安区,113.8410672,22.77244662
LIJING BAR&KTV,体育休闲服务,娱乐场所,KTV,吉祥路与松河南路交叉口北50米,广东省,深圳市,宝安区,113.8394089,22.77228273
热舞派对(深圳松岗店),体育休闲服务,娱乐场所,酒吧,松白路松岗汽车站配套大楼1-2楼,广东省,深圳市,宝安区,113.8432037,22.77193552
抓娃娃机(星港城购物中心),体育休闲服务,娱乐场所,娱乐场所,松白路7038星港城购物中心F1层,广东省,深圳市,宝安区,113.8432527,22.77320219
富绅阁会所(星港城购物中心),体育休闲服务,娱乐场所,娱乐场所,松白路7038星港城购物中心F1层,广东省,深圳市,宝安区,113.8425078,22.77298397
羊泰城俱乐部,体育休闲服务,娱乐场所,娱乐场所,立业路116号附近,广东省,深圳市,宝安区,113.8484988,22.77274919
丰泰城俱乐部,体育休闲服务,娱乐场所,娱乐场所,松岗镇松白路7035号,广东省,深圳市,宝安区,113.8485189,22.77263626
龙景娱乐城KTV,体育休闲服务,娱乐场所,KTV,光明新区公明镇马山头村双乐福百货,广东省,深圳市,宝安区,113.8735458,22.77180065
红馆国际俱乐部,体育休闲服务,娱乐场所,夜总会,松白路5017-2号,广东省,深圳市,宝安区,113.8858182,22.78016066
聚泉湾精品酒店KTV,体育休闲服务,娱乐场所,KTV,金安路与松白路交汇处聚泉湾精品酒店3号,广东省,深圳市,宝安区,113.8851584,22.7802933
迷城,体育休闲服务,娱乐场所,KTV,创业路与长春中路交叉口西北100米,广东省,深圳市,宝安区,113.8868006,22.77682021
大家乐酒吧(松白路辅路),体育休闲服务,娱乐场所,酒吧,公明办事处公明广场,广东省,深圳市,宝安区,113.8905344,22.77986054
皇朝派对KTV(公明店),体育休闲服务,娱乐场所,KTV,公明街道风景中路25号小区,广东省,深圳市,宝安区,113.8951148,22.77640551
迈阿密酒吧,体育休闲服务,娱乐场所,酒吧,风景路2-1号,广东省,深圳市,宝安区,113.8950497,22.77633753
BB KTV Club,体育休闲服务,娱乐场所,KTV,松白路448号附近,广东省,深圳市,宝安区,113.8959705,22.77586174
夜猫音乐酒吧,体育休闲服务,娱乐场所,酒吧,公明办事处金辉路1-3号,广东省,深圳市,宝安区,113.8913262,22.78034758
WHY BAR,体育休闲服务,娱乐场所,酒吧,望胜路15号附近,广东省,深圳市,宝安区,113.8933541,22.78016705
山东会馆(金辉路),体育休闲服务,娱乐场所,娱乐场所,金辉路1-6号,广东省,深圳市,宝安区,113.8912061,22.78028658
天恩娱乐会所,体育休闲服务,娱乐场所,娱乐场所,公明办事处振明路88号,广东省,深圳市,宝安区,113.8926435,22.7796551
神话KTV,体育休闲服务,娱乐场所,KTV,振明路22号,广东省,深圳市,宝安区,113.9013859,22.77585134
宝明城大酒店-卡拉ok,体育休闲服务,娱乐场所,KTV,振明路30宝明城大酒店3层,广东省,深圳市,宝安区,113.8983239,22.77884674
金鸿海会所,体育休闲服务,娱乐场所,娱乐场所,公明南环大道与新围商业街交叉口西北100米,广东省,深圳市,宝安区,113.9022444,22.77310806
上海滩主题KTV酒吧,体育休闲服务,娱乐场所,KTV,振明路与红花中路交叉口南200米,广东省,深圳市,宝安区,113.8969721,22.77763818
慕尚酒吧(公明店),体育休闲服务,娱乐场所,酒吧,公常路732-12号附近,广东省,深圳市,宝安区,113.9006267,22.7714879
宇宙酒吧,体育休闲服务,娱乐场所,酒吧,楼明路257号,广东省,深圳市,宝安区,113.9161377,22.77976929
简约休闲吧,体育休闲服务,娱乐场所,酒吧,坪西路与香元排路交叉口西南100米,广东省,深圳市,龙岗区,114.2814795,22.7716109
皇朝盛世歌友汇,体育休闲服务,娱乐场所,KTV,坪地街道教育中路33-35号,广东省,深圳市,龙岗区,114.2957612,22.77379335
鑫天皇国际俱乐部,体育休闲服务,娱乐场所,娱乐场所,深惠路3051号,广东省,深圳市,龙岗区,114.3034194,22.77503396
歌世界量贩KTV,体育休闲服务,娱乐场所,KTV,天宏街与湖田路交叉口西南100米,广东省,深圳市,龙岗区,114.3050903,22.77292569
海域(坪地店),体育休闲服务,娱乐场所,娱乐场所,坪地街道中心社区深惠路坪地段3041号302.482,广东省,深圳市,龙岗区,114.3028662,22.77384132
Triangle Bar,体育休闲服务,娱乐场所,酒吧,兴华路72号,广东省,深圳市,龙岗区,114.2985907,22.77395862
想唱就唱KTV,体育休闲服务,娱乐场所,KTV,坪地街道坪洲百货旁浩天百货3层,广东省,深圳市,龙岗区,114.3028025,22.77113831
碧海阁,体育休闲服务,娱乐场所,娱乐场所,坪地社区深惠路浩天购物广场5楼,广东省,深圳市,龙岗区,114.3022432,22.77117228
欢乐汇量贩KTV(坪地店),体育休闲服务,娱乐场所,KTV,坪地富坪中路20号,广东省,深圳市,龙岗区,114.3104645,22.77781431
幻城国际K歌,体育休闲服务,娱乐场所,KTV,湖田路70号D栋附近,广东省,深圳市,龙岗区,114.3073151,22.77474409
劲耀酒吧,体育休闲服务,娱乐场所,酒吧,坪地街道坪东社区湖田路70号,广东省,深圳市,龙岗区,114.3073381,22.77467007
轩轩饮吧,体育休闲服务,娱乐场所,酒吧,新和大道与新安大桥交叉口东南100米,广东省,深圳市,宝安区,113.792224,22.7658379
世纪飞歌量贩式KTV,体育休闲服务,娱乐场所,KTV,西环路先裕兴大厦3层,广东省,深圳市,宝安区,113.7975668,22.7626834
星河城KTV,体育休闲服务,娱乐场所,KTV,新和大道112-10号铺附近,广东省,深圳市,宝安区,113.8056469,22.76274422
天籁之音量贩式KTV(兴裕路),体育休闲服务,娱乐场所,KTV,沙井镇步涌新村同富裕工业园兴裕路18号,广东省,深圳市,宝安区,113.8058333,22.76337735
好歌声俱乐部,体育休闲服务,娱乐场所,KTV,沙井街道新和大道88号2层(步涌新村新万众百货旁),广东省,深圳市,宝安区,113.8067919,22.76093983
钻石1号,体育休闲服务,娱乐场所,酒吧,兴裕路17号,广东省,深圳市,宝安区,113.8064188,22.76437908
好歌声俱乐部-量贩式KTV,体育休闲服务,娱乐场所,KTV,新和大道88号,广东省,深圳市,宝安区,113.8067398,22.76095973
猎狐俱乐部,体育休闲服务,娱乐场所,KTV,松岗红星村松瑞路21号家家乐百货3层,广东省,深圳市,宝安区,113.8323669,22.7641445
猎狐KTV,体育休闲服务,娱乐场所,KTV,松瑞路与蚝涌村一巷交叉口西南50米,广东省,深圳市,宝安区,113.8324962,22.76401678
猎狐酒吧,体育休闲服务,娱乐场所,酒吧,松瑞路与蚝涌村一巷交叉口西南50米,广东省,深圳市,宝安区,113.8324882,22.76402076
好声音KTV(宝安大道),体育休闲服务,娱乐场所,KTV,松岗街道红星社区格布大厦好声音KTV2层(宝安大道),广东省,深圳市,宝安区,113.826862,22.76650843
