名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
Attitude CrossFit,体育休闲服务,运动场馆,健身中心,工业六路9号,广东省,深圳市,南山区,113.9127251,22.49717559
GAME,体育休闲服务,体育休闲服务场所,体育休闲服务场所,蛇口网谷万海大厦B栋802-R2,广东省,深圳市,南山区,113.9122042,22.49554795
超级猩猩(蛇口巨猩店),体育休闲服务,运动场馆,健身中心,荔园路9号风火G&G创意社区3层,广东省,深圳市,南山区,113.9136911,22.49509389
网谷会健身房,体育休闲服务,运动场馆,运动场所,工业六路网谷科技大厦二期B座7楼,广东省,深圳市,南山区,113.913697,22.49767088
仁者无敌INVINCIBLE搏击俱乐部(蛇口店),体育休闲服务,运动场馆,运动场所,蛇口荔园路9号G&G创意社区带梦公园302号房,广东省,深圳市,南山区,113.9132662,22.49488921
Yours Yoga,体育休闲服务,运动场馆,健身中心,蛇口工业六路9号圈创101三楼,广东省,深圳市,南山区,113.9127231,22.49730959
游筹网,体育休闲服务,体育休闲服务场所,体育休闲服务场所,工业六路10号,广东省,深圳市,南山区,113.91134,22.49889151
纪元体育篮球训练营,体育休闲服务,运动场馆,篮球场馆,沿山路9-3号,广东省,深圳市,南山区,113.9079451,22.49225544
半山社区中心球馆,体育休闲服务,运动场馆,运动场所,沿山路9-3号,广东省,深圳市,南山区,113.9079371,22.49224344
念头击剑运动俱乐部,体育休闲服务,运动场馆,运动场所,南海大道1048号海翔广场203-207,广东省,深圳市,南山区,113.9155027,22.49755646
深圳云吉网络,体育休闲服务,体育休闲服务场所,体育休闲服务场所,南海大道1048号海翔大厦415,广东省,深圳市,南山区,113.9156957,22.4973353
HI GYM健身私坊,体育休闲服务,运动场馆,健身中心,南海大道海翔广场123单元,广东省,深圳市,南山区,113.9156567,22.49767933
崇盛台球俱乐部,体育休闲服务,运动场馆,台球厅,南海大道和工业七路交汇处7天酒店3层,广东省,深圳市,南山区,113.9155426,22.50034241
深圳市南山区体育重点项目学校足球,体育休闲服务,运动场馆,足球场,水湾路13号附近,广东省,深圳市,南山区,113.9154959,22.49442947
桌球棋牌,体育休闲服务,体育休闲服务场所,体育休闲服务场所,南水步行街西水湾路22号湖滨综合楼2楼(格林联盟酒店),广东省,深圳市,南山区,113.9164819,22.49142462
南山健身中心,体育休闲服务,运动场馆,健身中心,南山大厦3楼,广东省,深圳市,南山区,113.9147978,22.49888603
悦动圈健身(蛇口网谷店),体育休闲服务,运动场馆,健身中心,南海大道1067号科技大厦一期5层502号,广东省,深圳市,南山区,113.9146168,22.49938517
普拉达游泳健身会所(自贸中心店),体育休闲服务,运动场馆,健身中心,水湾地铁站D出口深圳自贸中心24层,广东省,深圳市,南山区,113.9142783,22.49206144
兰溪谷半山心攀岩馆,体育休闲服务,运动场馆,运动场所,蛇口沿山路9-3号,广东省,深圳市,南山区,113.9080651,22.49249438
私享健身会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,招商街道南海大道与工业七路交叉口花园城三期20栋17层,广东省,深圳市,南山区,113.9162994,22.50020677
浩云桌球城,体育休闲服务,运动场馆,台球厅,水湾路22-2号,广东省,深圳市,南山区,113.916048,22.491422
招商街道文化体育馆,体育休闲服务,运动场馆,综合体育馆,工业七路51号附近,广东省,深圳市,南山区,113.9219376,22.4974572
蛇口体育中心,体育休闲服务,运动场馆,综合体育馆,公园路45号,广东省,深圳市,南山区,113.9187559,22.49825452
育才中学体育馆,体育休闲服务,运动场馆,综合体育馆,育才路3号附近,广东省,深圳市,南山区,113.9168875,22.49622627
欧力维亚健身,体育休闲服务,体育休闲服务场所,体育休闲服务场所,汉唐商务酒店5楼,广东省,深圳市,南山区,113.9202894,22.49655598
中科乐活动中心,体育休闲服务,体育休闲服务场所,体育休闲服务场所,蛇口公园路82号蛇口青少年活动中心四楼,广东省,深圳市,南山区,113.9200114,22.49777927
精英健身(蛇口店),体育休闲服务,运动场馆,健身中心,招商路63号,广东省,深圳市,南山区,113.9227494,22.49347028
SOCCERWORLD足球馆,体育休闲服务,运动场馆,足球场,工业六路与水湾路交叉口东北150米,广东省,深圳市,南山区,113.9167996,22.49572435
蛇口体育中心足球场,体育休闲服务,运动场馆,足球场,蛇口体育中心,广东省,深圳市,南山区,113.9187569,22.49825352
飞扬乒乓球馆,体育休闲服务,运动场馆,乒乓球馆,蛇口青少年活动中心A座一楼,广东省,深圳市,南山区,113.9201214,22.49791415
歌休闲,体育休闲服务,体育休闲服务场所,体育休闲服务场所,招商路153-1号附近,广东省,深圳市,南山区,113.9188572,22.49309443
索福德足球场,体育休闲服务,运动场馆,足球场,育才路4号招北小区旁,广东省,深圳市,南山区,113.9170356,22.49497014
凯伦菲勒健身中心(米兰店),体育休闲服务,运动场馆,健身中心,招商路86号2楼,广东省,深圳市,南山区,113.9228834,22.49385413
蛇口青少年活动中心羽毛球馆,体育休闲服务,运动场馆,羽毛球场,公园路82号蛇口青少年活动中心3层,广东省,深圳市,南山区,113.9200394,22.49743524
蛟龙潜水,体育休闲服务,体育休闲服务场所,体育休闲服务场所,蛇口爱榕路景园大厦南座6c,广东省,深圳市,南山区,113.9254945,22.49804095
荣川桌球俱乐部,体育休闲服务,运动场馆,台球厅,公园南路10-3号尚客优酒店4楼,广东省,深圳市,南山区,113.9201218,22.49081715
901健身工厂(健身中心),体育休闲服务,运动场馆,健身中心,愛榕路园景园名苑小区裙楼万佳福超市2层,广东省,深圳市,南山区,113.9242444,22.49683151
901体能工厂,体育休闲服务,运动场馆,健身中心,蛇口爱榕路园景园名苑小区(东湾小学对面)万福佳超市二楼,广东省,深圳市,南山区,113.9251009,22.49677845
雍景湾会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,爱榕路48号,广东省,深圳市,南山区,113.9254035,22.49914906
专业桌球城,体育休闲服务,运动场馆,台球厅,蛇口荣村C栋4楼,广东省,深圳市,南山区,113.9202108,22.49081506
索福德足球世界(深圳蛇口中心店),体育休闲服务,运动场馆,足球场,蛇口街道育才路1号,广东省,深圳市,南山区,113.9172235,22.49570697
Musclepanda私人健身工作室,体育休闲服务,体育休闲服务场所,体育休闲服务场所,招商东路与后海大道交汇处全球鹰国际教育城2层2007号,广东省,深圳市,南山区,113.9310343,22.49612725
熊猫健身工作室,体育休闲服务,体育休闲服务场所,体育休闲服务场所,招商路后海雅园101全球鹰教育城二楼,广东省,深圳市,南山区,113.9310393,22.49612624
龙腾武馆,体育休闲服务,运动场馆,运动场所,后海大道与招商东路交汇处全球鹰教育城三楼,广东省,深圳市,南山区,113.9312062,22.49636599
三叶瑜伽工作室,体育休闲服务,运动场馆,健身中心,后海大道蓝天路8号后海公馆1栋2504室,广东省,深圳市,南山区,113.9317508,22.49387115
维尔尼斯国际健身会馆,体育休闲服务,运动场馆,健身中心,蓝天路后海公馆首层,广东省,深圳市,南山区,113.9332224,22.49401084
C瑜伽馆,体育休闲服务,体育休闲服务场所,体育休闲服务场所,后海大道1041号港湾创业大厦11层,广东省,深圳市,南山区,113.9289132,22.49597335
聚贤庄射箭馆(南山店),体育休闲服务,运动场馆,运动场所,后海大道25号(东南工贸大厦C栋601),广东省,深圳市,南山区,113.9300245,22.49218875
联合维康羽毛球馆,体育休闲服务,运动场馆,羽毛球场,工业七路2号,广东省,深圳市,南山区,113.927604,22.49835017
领域健身中心(后海店),体育休闲服务,运动场馆,健身中心,湾厦地铁站A出口恒裕滨城花园102,广东省,深圳市,南山区,113.93536,22.49610333
招商海月三期会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,招商街道工业七路8号,广东省,深圳市,南山区,113.9319833,22.49943278
格斗虎健身馆,体育休闲服务,运动场馆,健身中心,蛇口后海滨路阳光海滨花园南面支一路188号(湾厦站A出口直走300米即可),广东省,深圳市,南山区,113.9351924,22.49242961
快快智能健身主题店(深圳湾绿海湾店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,招商路与后海滨路交汇处东南侧绿海湾花园35号,广东省,深圳市,南山区,113.9350734,22.49432081
